id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
36	agricultural irrigation management	1.0584	-0.1238	1	4	30	5	2019	5	4.56
37	agt	0.5102	0.4351	19	6	120	5	2019	3	2.736
38	agt m235t	0.5099	0.4364	19	6	120	5	2019	3	2.736
39	ahm	0.4753	0.208	16	3	15	5	2019	0	0
40	aip	-0.234	0.5984	10	2	10	5	2019	1	0.912
41	air	-0.0066	-0.6396	5	75	353	20	2019	0.25	0.228
42	air space	-0.0171	-0.142	2	9	116	8	2019	1.625	1.482
43	airlangga university	0.1135	-0.1694	2	38	131	13	2019	0.1538	0.1403
44	airway obstruction	1.1391	0.0569	1	2	25	6	2019	0	0
45	al2o3	-0.3889	-0.5163	5	14	136	13	2019	0	0
46	albendazole	-0.1893	-0.0034	23	6	125	5	2019	0	0
47	ald	0.1272	0.3995	19	7	105	5	2019	1	0.912
48	alendronate	-0.8875	-0.19	13	23	147	5	2019	0.6	0.5472
49	alkaline phosphatase	-0.6372	0.5649	4	45	207	9	2019	1.8889	1.7227
50	alkaloid	-0.6423	-0.0366	4	62	166	10	2019	1.6	1.4592
51	alkyl chain length	-0.6492	-0.6175	7	20	172	5	2019	1.4	1.2768
52	allium cepa l	-0.7327	0.0977	11	10	70	5	2019	10	9.1199
53	aloe vera	-0.7976	-0.1217	13	49	435	15	2019	0	0
54	alp	-0.4241	0.6026	8	21	192	12	2019	0.3333	0.304
55	alt	-0.2157	0.5311	8	33	100	6	2019	1.3333	1.216
56	alternative antibiotic	0.0484	0.2153	10	25	156	5	2019	2.6	2.3712
57	aluminium	-0.3255	-0.5293	2	35	271	18	2019	6.8333	6.232
58	aluminosilicate	-0.3412	-0.502	6	4	33	13	2019	0.3077	0.2806
59	aluminum	-0.0922	-0.4518	6	27	84	6	2019	1.5	1.368
60	alveolar bone	-0.8422	0.1524	4	66	185	8	2019	0.125	0.114
61	ambon banana stem	-0.7138	0.4974	14	13	125	5	2019	0	0
62	aml	0.6089	0.7698	19	7	153	11	2019	0	0
63	ammonia	-0.1344	-0.5089	5	59	303	16	2019	7.375	6.7259
64	ammonia gas	0.0309	-0.6182	5	19	144	6	2019	1	0.912
65	ammonium	-0.0613	-0.7867	2	17	190	7	2019	0	0
66	amplifier	-0.0688	-0.652	6	41	308	25	2019	0.96	0.8755
67	anadara granosa	-0.3937	-0.6941	7	27	244	12	2019	0	0
68	anadara spp	0.1291	-0.5551	12	9	69	6	2019	0.5	0.456
69	analytical method	0.2753	-0.2112	1	25	55	5	2019	3.4	3.1008
70	anastatica hierochuntica l	-0.254	0.1972	11	7	102	6	2019	0	0
71	anc	0.6807	0.1777	9	19	98	13	2019	1.1538	1.0523
72	anemic pregnant woman	0.418	0.2709	3	13	168	6	2019	0	0
73	angiogenesis	-0.7155	0.3052	4	83	481	18	2019	1.9444	1.7733
74	animal km	0.102	-0.6242	5	60	273	11	2019	0.0909	0.0829
75	animal model	-0.5667	0.5765	17	95	426	16	2019	0.8125	0.741
76	anion	-0.595	-0.5758	7	42	219	8	2019	2	1.824
77	annual report	1.0319	-0.167	1	25	58	5	2019	0.4	0.3648
78	antecedent	1.1314	-0.059	1	40	255	17	2019	2.2353	2.0386
79	anthropometric measurement	0.463	0.4492	8	15	100	8	2019	0.125	0.114
80	anti	-0.3835	0.618	17	86	321	17	2019	1.0588	0.9656
81	anti caspase	-1.4274	0.4435	22	39	400	6	2019	2.3333	2.128
82	anti inflammatory	-0.9079	0.2549	4	87	291	9	2019	0.1111	0.1013
83	anti inflammatory activity	-0.8025	0.0287	15	35	123	6	2019	0.8333	0.76
84	anti tuberculosis drug treatment	-0.339	0.5263	10	7	102	6	2019	1	0.912
85	antibacterial activity	-0.638	-0.1327	11	83	525	31	2019	0.4516	0.4119
86	antibacterial effect	-0.7879	0.0747	4	48	110	5	2019	0.4	0.3648
87	antibiotic residue	-0.3225	-0.5532	2	11	174	6	2019	3	2.736
88	antibiotic resistance	-0.0753	0.0859	10	31	106	6	2019	2.1667	1.976
89	anticancer activity	-0.5906	0.0874	11	51	297	13	2019	5.2308	4.7704
90	antidepressant	1.4239	0.6808	24	5	50	8	2019	1.75	1.596
91	antimalarial activity	-0.8556	0.1123	11	10	121	11	2019	0.7273	0.6633
92	antioxidant activity	-0.6013	0.0502	11	121	659	37	2019	2.5946	2.3663
93	antiretroviral therapy	0.5324	0.3429	10	33	100	9	2019	0.6667	0.608
94	antiviral activity	-0.4034	0.145	11	20	78	6	2019	0	0
95	anxiety	0.7641	0.2033	3	24	173	24	2019	1.8333	1.672
96	aor	0.6055	-0.0197	9	16	106	12	2019	0.4167	0.38
97	aortic wall	-0.6839	0.24	11	21	89	5	2019	0	0
98	apoptosis	-0.6601	0.2847	21	147	1544	65	2019	2.3692	2.1607
99	appropriate time	0.7688	0.1399	9	7	96	6	2019	0	0
100	apri	0.1765	0.7034	8	11	162	8	2019	0	0
101	aquaculture	-0.225	-0.3639	2	45	145	11	2019	1.0909	0.9949
102	aquadest	-0.5071	-0.0119	2	36	148	7	2019	1.1429	1.0423
103	aquatic environment	-0.3338	-0.7662	7	22	118	7	2019	0.2857	0.2606
104	aqueous solution	-0.4984	-0.5837	7	38	302	18	2019	1.3333	1.216
105	arg1	-0.5636	0.2251	11	12	135	5	2019	0	0
106	argulus	-0.3618	-0.094	2	8	208	8	2019	0	0
107	ari	-0.5425	0.4962	14	5	75	5	2019	0	0
108	arima	1.1766	-0.0879	1	7	24	5	2019	0	0
109	aroma	-0.1902	-0.3717	15	45	164	7	2019	0.4286	0.3909
110	artemisinin	-0.4937	0.1573	12	8	114	6	2019	0	0
111	artificial cornea	-0.1975	-0.2	2	10	70	5	2019	0	0
112	ascorbic acid	-0.7884	-0.0784	13	54	294	18	2019	0.8333	0.76
113	asd	0.3562	0.1938	9	11	98	10	2019	0	0
114	ash content	-0.2938	-0.3751	7	51	169	8	2019	0	0
115	asian country	0.4336	0.1212	9	45	136	12	2019	2.6667	2.432
116	asperger syndrome	1.1324	0.7148	3	1	6	6	2019	0	0
117	aspergillus niger	-0.2745	-0.3857	2	25	115	6	2019	0.8333	0.76
118	asr	0.5027	0.2251	16	4	27	5	2019	0	0
119	asset	1.0598	-0.077	1	56	297	18	2019	0.8333	0.76
120	associated factor	0.499	-0.0834	9	6	13	5	2019	1	0.912
121	ast	-0.2309	0.4993	8	36	111	7	2019	1.1429	1.0423
122	atp	-0.6839	0.3813	21	23	217	11	2019	0.6364	0.5804
123	atpase	-0.5173	0.3454	21	15	128	10	2019	0	0
124	attenuation	-0.5503	0.1249	14	49	230	10	2019	1.9	1.7328
125	audit	1.2038	-0.0532	1	23	106	10	2019	1	0.912
126	audit committee	1.2841	-0.1221	1	15	66	8	2019	5.5	5.016
127	audit firm rotation	1.4226	-0.0533	1	11	156	8	2019	4.25	3.876
128	audit quality	1.376	-0.0671	1	16	314	27	2019	3.1481	2.8711
129	audit rotation	1.4045	-0.0748	1	13	184	12	2019	3.3333	3.04
130	auditor choice	1.6527	-0.1355	1	1	6	6	2019	2	1.824
131	average age	0.417	0.5296	8	31	102	8	2019	0.25	0.228
132	average air temperature	1.5526	-0.1356	1	3	42	6	2019	0	0
133	average value	0.3994	-0.1512	3	59	266	13	2019	0.1538	0.1403
134	avoidant restrictive food intake disorder	0.6337	0.1149	9	8	48	5	2019	0.4	0.3648
135	bacillus	-0.2719	-0.3668	2	56	397	20	2019	0.5	0.456
136	bacillus megaterium bm	-0.2377	-0.6171	5	6	75	5	2019	0	0
137	bacillus sp	-0.382	-0.414	2	23	72	5	2019	0.6	0.5472
138	bacillus subtili	-0.5132	-0.3636	13	19	78	5	2019	0.8	0.7296
139	backpropagation neural network	0.3433	-0.0586	16	8	43	5	2019	1	0.912
140	bacteria	-0.4019	-0.3124	2	75	222	9	2019	3.4444	3.1413
141	bacterial growth	-0.5932	-0.0702	2	61	159	9	2019	0.1111	0.1013
142	bacterial identification	-0.0622	-0.2293	2	25	55	6	2019	0.8333	0.76
143	bacterial infection	-0.106	0.122	10	56	116	6	2019	0	0
144	bacterial resistance	-0.5655	-0.1987	11	52	181	8	2019	0.625	0.57
145	balance exercise	0.9838	0.6847	3	8	79	7	2019	0.8571	0.7817
146	bali	0.5085	0.0459	10	68	388	32	2019	0.7812	0.7125
147	balp	-0.7436	0.5052	4	19	119	5	2019	5.2	4.7424
148	band	-0.2384	-0.1214	16	189	647	46	2019	0.6739	0.6146
149	bangladesh	0.1265	0.0916	10	38	314	12	2019	1.3333	1.216
150	bank capital	1.2219	-0.1802	1	6	30	5	2019	2	1.824
151	banking industry	1.1808	-0.1648	1	34	90	6	2019	1.3333	1.216
152	banyuwangi	-0.1584	-0.5403	2	50	249	25	2019	0.72	0.6566
153	basic immunization	0.8509	0.162	9	18	118	9	2019	0.2222	0.2027
154	basoeni general hospital	0.6166	0.0194	3	2	10	5	2019	0	0
155	basophil	-0.6507	0.0365	18	36	262	7	2019	0.5714	0.5211
156	batik wastewater	-0.1605	-0.4936	7	9	42	5	2019	6	5.472
157	bawean	0.3836	-0.5054	12	7	14	5	2019	0.6	0.5472
158	bcl	-0.7859	0.2202	21	28	169	10	2019	0.1	0.0912
159	bde	-0.713	-0.2239	7	6	41	6	2019	0	0
160	bdnf	-0.0233	0.668	11	26	209	14	2019	1.3571	1.2377
161	bdnf expression	-0.1392	0.6819	9	14	108	8	2019	0.75	0.684
162	beef meat	-0.3242	-0.5674	2	12	129	8	2019	1.75	1.596
163	beeswax oleum cacao	-0.9582	-0.0185	15	7	96	6	2019	2	1.824
164	behavioral control	0.8526	0.0993	3	13	101	12	2019	0.75	0.684
165	beijing	0.2197	0.2619	16	3	36	6	2019	0	0
166	belief	0.845	0.1227	3	28	282	23	2019	0.7391	0.6741
167	benzalkonium chloride	-0.2608	0.021	2	9	216	9	2019	0	0
168	benzene	0.1185	-0.5763	5	72	1072	57	2019	0.3684	0.336
169	benzene concentration	0.0855	-0.5536	5	57	457	19	2019	0.4737	0.432
170	benzene exposure	0.1037	-0.6095	5	47	236	13	2019	0.6154	0.5612
171	benzene level	0.119	-0.6048	5	23	73	5	2019	1.8	1.6416
172	benzodiazepine	1.4444	0.6933	24	1	42	7	2019	2	1.824
173	benzopyrene	-0.5907	0.5568	14	22	350	15	2019	0.4667	0.4256
174	best result	-0.2965	-0.0069	2	91	254	12	2019	0.4167	0.38
175	best value	-0.4913	-0.7263	5	14	76	5	2019	0.4	0.3648
176	better performance	0.1104	-0.1244	10	51	144	11	2019	1.6364	1.4924
177	bhk	-0.8927	0.0241	13	39	159	7	2019	0.4286	0.3909
178	bibliocare	0.9575	0.4703	3	4	50	5	2019	2	1.824
179	bifidobacterium infantis	-0.3577	0.6933	14	12	248	8	2019	0.5	0.456
180	bioaccumulation	-0.3361	-0.5185	12	27	128	6	2019	0.6667	0.608
181	bioactive compound	-0.4655	-0.1288	11	50	95	6	2019	3.1667	2.888
182	biochemical test	-0.0997	-0.2246	2	31	60	5	2019	1.6	1.4592
183	biocompatibility	-0.8431	-0.0881	15	80	343	15	2019	1.3333	1.216
184	biodiesel	-0.3678	-0.3201	2	19	147	14	2019	1.2143	1.1074
185	biofilm	-0.6377	-0.1439	20	93	1151	40	2019	0.725	0.6612
186	biofilter combination	-0.3558	-0.8263	7	11	123	6	2019	0.5	0.456
187	biogas	-0.004	-0.3905	7	9	161	12	2019	1.1667	1.064
188	biomass	0.0748	-0.3922	7	61	464	31	2019	1.0323	0.9414
189	biosurfactant	-0.369	-0.3172	2	17	115	8	2019	0.875	0.798
190	biosurfactant production	-0.3747	-0.3114	2	17	144	6	2019	2	1.824
191	biscuit	-0.409	-0.1989	15	12	121	9	2019	0	0
192	bitter gourd	-0.5886	-0.0608	11	7	90	5	2019	1	0.912
193	bitter melon	-0.8232	0.1973	11	9	105	5	2019	4	3.648
194	bivalf	0.1908	-0.4636	7	16	138	10	2019	1.2	1.0944
195	bivariate analysis	0.8451	0.1379	3	31	117	10	2019	2	1.824
196	blind biopsy	0.0625	0.5062	10	7	55	5	2019	0	0
197	blood clamp	-0.3563	-0.825	7	11	104	5	2019	0.4	0.3648
198	blood cockle shell	-0.5343	-0.6214	6	7	66	6	2019	0	0
199	blood glucose	-0.336	0.3882	8	95	547	25	2019	4.44	4.0492
200	blood glucose level	-0.5169	0.3001	8	67	453	25	2019	1.24	1.1309
201	blood level	-0.9988	0.4743	23	23	131	9	2019	0	0
202	blue green algae	-0.0678	-0.8092	2	12	208	8	2019	0	0
203	blw	0.6825	0.1804	9	1	7	7	2019	0	0
204	bmp	-0.7569	0.2814	4	21	248	15	2019	0.4	0.3648
205	bmp9	-1.0908	0.4173	4	13	232	8	2019	0	0
206	board	1.0903	-0.1795	1	19	68	6	2019	9.1667	8.3599
207	body image	0.4825	0.4736	8	1	5	5	2019	0	0
208	body surface area	0.0758	-0.5712	5	68	395	16	2019	0.125	0.114
209	bolus	-0.2325	-0.4532	6	5	63	7	2019	1	0.912
210	bone	-0.7829	0.2356	4	190	1246	60	2019	0.8167	0.7448
211	bone bolango district	0.0929	-0.6357	5	19	91	6	2019	0	0
212	bone defect	-0.8455	0.1491	4	48	270	12	2019	1.9167	1.748
213	bone density	-0.6424	0.4149	4	29	147	8	2019	0.75	0.684
214	bone filler	-1.0618	0.1205	4	25	235	7	2019	1.2857	1.1726
215	bone formation	-0.8578	0.3101	4	78	517	19	2019	1.7368	1.584
216	bone graft	-0.7084	0.1025	4	50	252	11	2019	0.4545	0.4145
217	bone scaffold	-0.6759	-0.1004	13	41	161	10	2019	0.9	0.8208
218	book	0.8861	0.3427	3	31	182	16	2019	0.5625	0.513
219	book value	1.2085	-0.165	1	9	56	5	2019	1.2	1.0944
220	bovine bone	-1.1354	0.2626	4	10	180	5	2019	0	0
221	bovine hydroxyapatite chitosan	-0.7706	-0.092	13	10	182	7	2019	0	0
222	bovine teeth	-0.9199	0.2242	11	13	160	8	2019	10	9.1199
223	bph	-0.168	0.2857	4	14	93	7	2019	0.2857	0.2606
224	bpscs	-0.9484	0.2369	18	18	459	9	2019	0	0
225	brain gym	0.8332	0.6287	3	4	112	7	2019	0	0
226	brain tumor	0.2359	0.2094	16	15	90	13	2019	0.3846	0.3508
227	bread	-0.0256	-0.2851	15	16	204	13	2019	0.6154	0.5612
228	breakfast	0.0955	0.4949	8	8	80	8	2019	5	4.56
229	breast milk	0.8311	0.0839	9	14	73	11	2019	1.4545	1.3265
230	breast milk production	0.774	0.1308	9	6	44	8	2019	0.5	0.456
231	breastfeeding	0.8445	0.0719	9	17	88	14	2019	0.1429	0.1303
232	broiler	-0.3152	-0.0096	20	22	99	15	2019	0.6	0.5472
233	broiler chicken	-0.2326	-0.0848	2	41	176	16	2019	0.1875	0.171
234	brucella	-0.3122	0.1014	14	18	132	5	2019	0	0
235	brucella sui	-0.3296	0.0969	14	16	160	5	2019	0	0
236	bsa	0.0431	-0.6117	5	65	229	8	2019	0.5	0.456
237	bsa animal	0.1017	-0.6347	5	41	130	5	2019	0	0
238	bse practice	0.187	0.1545	15	1	7	7	2019	0	0
239	bullying	0.6717	-0.0905	9	8	41	5	2019	0.2	0.1824
240	bullying victim	0.6942	-0.0869	9	5	42	7	2019	0.1429	0.1303
241	bun	-0.726	0.5774	22	58	308	7	2019	1	0.912
242	burn patient	-0.4256	0.4773	14	18	164	10	2019	0.1	0.0912
243	burns patient	-0.3575	0.6909	14	12	248	8	2019	0.5	0.456
244	buyer	1.2322	0.0407	1	12	121	13	2019	1.0769	0.9821
245	c albican	-0.6781	-0.2528	20	38	255	8	2019	1.25	1.14
246	c albicans biofilm	-0.7517	-0.3577	20	38	201	6	2019	4.3333	3.952
247	c versicolor	-0.5261	0.3267	8	21	128	6	2019	0.1667	0.152
248	c vulgaris	-0.1227	-0.4099	7	20	92	6	2019	1.6667	1.52
249	ca chss	-0.8614	-0.0602	7	11	140	7	2019	0	0
250	cadmium	-0.3317	-0.4791	7	50	205	13	2019	0.1538	0.1403
251	calcaneal spur	-0.9437	0.7362	4	6	80	5	2019	0	0
252	calcination temperature	-0.6336	-0.3858	13	9	96	9	2019	0	0
253	calcium level	-0.3731	0.2023	17	13	119	9	2019	0	0
254	calcium phosphate	-0.6728	-0.2777	13	30	61	5	2019	0	0
255	callus	-0.7764	-0.3826	13	23	382	14	2019	0	0
256	cancer cell	-0.4967	0.3345	21	76	427	19	2019	2.1053	1.92
257	candida albican	-0.4917	-0.0722	20	35	250	11	2019	0.7273	0.6633
258	candidiasis	-0.6014	-0.1981	20	20	89	6	2019	0	0
259	cao	-0.4659	-0.6651	5	15	120	8	2019	0.375	0.342
260	capital	1.1973	-0.1379	1	63	288	24	2019	1.1667	1.064
261	carbofuran	-0.8313	0.287	11	23	174	7	2019	0.8571	0.7817
262	carbohydrate	-0.2399	0.0017	15	122	430	22	2019	0.6364	0.5804
263	carbon	-0.4502	-0.2734	7	113	364	25	2019	2	1.824
264	carbon black	-0.5201	-0.0652	5	15	151	7	2019	0.8571	0.7817
265	carbon emission	1.0914	-0.1404	1	7	67	8	2019	18.625	16.9859
266	carbon emission disclosure	1.0767	-0.2203	1	10	94	7	2019	4	3.648
267	carcinogen toxicity score	0.1496	-0.606	5	13	180	6	2019	1	0.912
268	cardiac cell damage	-1.472	0.4313	22	29	259	5	2019	1.2	1.0944
269	caregiver burden level	1.1627	0.3767	3	2	27	9	2019	0	0
270	carotene content	-0.2089	-0.7591	15	5	147	7	2019	1	0.912
271	carrageenan	-0.5853	-0.3015	15	39	204	9	2019	0	0
272	case series	-0.0012	0.2315	16	18	48	6	2019	0.3333	0.304
273	caspase	-0.9749	0.3352	22	96	1688	51	2019	1.4706	1.3412
274	cat	-0.4845	0.1223	8	50	296	26	2019	0.9615	0.8769
275	catalase	-0.4464	0.3672	14	48	235	9	2019	1	0.912
276	catalyst	-0.3358	-0.5114	6	48	202	17	2019	0.3529	0.3219
277	catenin expression	-0.4272	0.761	10	15	135	8	2019	0	0
278	catfish	-0.0654	-0.446	2	68	267	16	2019	0.3125	0.285
279	cattle	-0.0988	-0.0199	23	36	267	22	2019	1.6364	1.4924
280	cavity	-0.3299	-0.5	6	120	413	26	2019	1.8077	1.6486
281	cayratia trifolium	-0.7822	-0.0344	15	22	127	5	2019	0	0
282	cbcl	0.3933	0.2234	9	3	42	6	2019	0	0
283	cd105	-1.0206	0.3526	18	38	184	6	2019	1.8333	1.672
284	cd90	-1.0618	0.363	18	38	229	7	2019	1.7143	1.5634
285	cecum	-0.2197	-0.137	2	13	89	5	2019	0.4	0.3648
286	cefixime	-0.1414	0.2408	17	4	35	7	2019	0	0
287	celebrity	0.861	-0.2918	1	9	48	7	2019	4.2857	3.9085
288	cell contractility	-0.7923	0.3695	18	26	239	7	2019	0	0
289	cell culture	-0.8736	0.138	7	68	280	11	2019	2.1818	1.9898
290	cell line	-0.2434	0.1575	11	85	506	25	2019	0.68	0.6202
291	cell migration	-0.7315	0.4523	18	45	161	6	2019	0.5	0.456
292	cell proliferation	-0.7796	0.2423	17	91	449	20	2019	1.45	1.3224
293	cell viability	-0.8866	0.3423	18	80	371	12	2019	1.75	1.596
294	cell wall	-0.6909	-0.013	23	53	198	13	2019	0.4615	0.4209
295	cellulase	-0.412	-0.2143	2	35	121	11	2019	1.8182	1.6582
296	cellulose	-0.4835	-0.2508	2	63	222	11	2019	1.5455	1.4094
297	cellulose matrix	-0.4615	-0.2521	13	11	60	5	2019	5	4.56
298	central halmahera district	-0.2891	-0.0366	12	2	25	5	2019	0	0
299	central java province	0.1917	-0.5966	12	12	65	7	2019	0.5714	0.5211
300	central obesity	0.3423	0.5532	8	10	88	7	2019	0.8571	0.7817
301	central wavelength	-0.2792	-0.8157	6	41	113	6	2019	1.6667	1.52
302	ceramic shard waste	-0.4412	-0.6783	5	8	80	5	2019	0	0
303	cerebellum	-0.0344	0.729	9	18	160	8	2019	0.25	0.228
304	cerebrum	-0.0999	0.6674	9	28	199	9	2019	0	0
305	cervical cancer	0.554	0.2583	3	35	140	10	2019	0.6	0.5472
306	cervical cancer patient	0.8208	0.3537	3	4	74	10	2019	0.4	0.3648
307	cfu	-0.5698	-0.1473	2	51	129	6	2019	0.5	0.456
308	cfu g	-0.284	-0.5035	2	60	326	15	2019	0.9333	0.8512
309	cfu ml	-0.3437	-0.2279	2	65	187	9	2019	0.2222	0.2027
310	ch4	-0.6195	-0.6058	7	15	382	16	2019	1	0.912
311	chain community pharmacy	7.4482	4.4989	25	0	0	7	2019	4	3.648
312	channel	0.711	-0.0947	1	34	138	10	2019	1.4	1.2768
313	characterization	-0.4394	-0.3156	13	312	1578	83	2019	1.012	0.923
314	chd	-0.2203	0.4564	10	17	78	12	2019	0.0833	0.076
315	chemical component	-0.2979	-0.2528	11	33	96	5	2019	0	0
316	chess game	0.8886	0.6123	3	4	50	5	2019	0	0
317	chicken	-0.3288	-0.0409	2	62	485	35	2019	0.4	0.3648
318	chief complaint	-0.0525	0.5492	4	9	19	5	2019	0.6	0.5472
319	child health care practice	0.8512	0.156	9	4	36	6	2019	0	0
320	child life program	0.8525	0.5728	3	7	156	6	2019	0	0
321	child marriage	1.2118	0.0375	1	13	120	9	2019	2.6667	2.432
322	child stunting	0.7711	0.1699	3	5	54	5	2019	0.6	0.5472
323	china	0.6078	-0.1072	9	38	304	15	2019	0	0
324	chitosan	-0.7404	-0.0657	7	147	954	39	2019	0.1538	0.1403
325	chitosan p	-1.351	0.4483	22	31	448	7	2019	2	1.824
326	chitosan pinus	-1.4602	0.426	22	47	702	12	2019	2.1667	1.976
327	chitosan pinus merkusii nanoparticle	-1.3594	0.3722	22	47	1066	19	2019	1.6316	1.488
328	chitosan powder	-0.8709	-0.047	7	25	124	5	2019	0	0
329	chlamydia trachomatis	-1.0309	-0.0562	23	4	46	8	2019	0	0
330	chloride	-0.5284	0.1368	11	70	353	16	2019	0.5	0.456
331	chlorophyll	-0.6232	-0.4483	20	51	723	30	2019	0.9	0.8208
332	cholesterol	0.1344	0.3428	8	85	466	36	2019	4.4444	4.0533
333	chorioallantoic membrane	-0.6561	0.2133	4	14	96	6	2019	2	1.824
334	chronic hepatitis c severity	0.229	0.7653	8	5	115	5	2019	0	0
335	chronic kidney disease	-0.0929	0.7581	8	35	280	20	2019	0.15	0.1368
336	chronic periodontitis	-0.8616	0.4707	4	22	227	10	2019	0.3	0.2736
337	chronic plantar ulcer	-0.6433	0.5776	4	12	161	7	2019	2	1.824
338	ci95	0.601	-0.0013	9	4	70	5	2019	0	0
339	cigarette	0.9452	0.0352	1	31	263	16	2019	1.6875	1.539
340	cigarette retailer	0.9417	-0.0072	1	13	156	7	2019	3.1429	2.8663
341	cigarette smoke	-0.1694	0.5214	11	26	211	16	2019	0.25	0.228
342	cinnamic acid	-0.9263	-0.5272	13	3	48	6	2019	0	0
343	circular mitogenome	0.5207	-0.9046	12	32	90	5	2019	0.6	0.5472
344	cisplatin	-0.7167	0.5649	4	28	149	6	2019	0.3333	0.304
345	citrus limon l peel oil	-0.9124	0.2864	4	14	165	5	2019	1	0.912
346	ck mb	-1.4444	0.4196	22	29	284	6	2019	0.6667	0.608
347	ckd	-0.1437	0.7118	8	30	269	19	2019	0.6842	0.624
348	ckd patient	-0.1962	0.7232	8	27	183	10	2019	0.6	0.5472
349	clarity	0.1715	-0.5783	2	31	143	6	2019	0.6667	0.608
350	classification accuracy	0.1672	0.2857	16	14	100	10	2019	5	4.56
351	client	0.9747	0.2545	1	31	251	17	2019	1.1176	1.0193
352	clinical application	-0.8073	0.018	15	38	114	5	2019	1	0.912
353	clinical nursing education	6.8259	5.3099	26	0	0	7	2019	0	0
354	clinical practice	0.5971	0.1949	1	43	157	8	2019	3	2.736
355	clinical supervision training	1.2656	-0.0605	3	5	45	5	2019	2	1.824
356	clopidogrel	-0.3908	0.8372	10	5	119	7	2019	0	0
357	cloud	1.0331	-0.0924	1	16	180	8	2019	3.25	2.964
358	clp	-0.7655	0.1422	18	8	73	8	2019	0	0
359	clp patient	-0.7773	0.1445	18	7	70	5	2019	0	0
360	club	0.6502	-0.0619	9	10	67	6	2019	0.8333	0.76
361	cluster analysis	0.2055	0.1137	16	22	49	5	2019	2	1.824
362	cmc	-0.6777	0.0655	17	69	322	14	2019	0.5714	0.5211
363	cmc na	-0.7817	0.2604	11	37	142	7	2019	1.1429	1.0423
364	coating	-0.4574	-0.4677	6	67	326	26	2019	0.9615	0.8769
365	cob healthcare social security agency patient	1.391	-0.0399	3	2	45	5	2019	0	0
366	cobalt	-0.4858	0.16	11	8	126	6	2019	0	0
367	cockle	0.2042	-0.5276	12	9	150	12	2019	0	0
368	coconut shell	-0.6056	-0.1569	2	54	257	10	2019	2.4	2.1888
369	coconut water	-0.2762	0.0063	21	16	112	10	2019	1.8	1.6416
370	cod	0.0201	-0.4465	7	36	132	10	2019	3.3	3.0096
371	code	0.9205	-0.0452	1	32	128	14	2019	1.0714	0.9771
372	coffee leafe	-0.6797	-0.1496	11	15	60	5	2019	0.8	0.7296
