id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
55	antiglycation	-0.9593	-0.1214	4	34	167	8	2019	1.75	2.1934
56	antiglycation activity	-0.8367	-0.059	4	46	136	6	2019	1.5	1.88
57	antimicrobial activity	-0.8652	0.2322	13	39	157	10	2019	0.2	0.2507
58	antioxidant	-0.8279	-0.0232	4	144	550	24	2019	0.625	0.7833
59	antioxidant activity	-0.8292	-0.0731	4	265	2189	92	2019	1.163	1.4577
60	antioxidant agent	-0.8672	-0.1663	4	55	118	5	2019	2	2.5067
61	antioxidant capacity	-1.0863	-0.0704	4	67	368	11	2019	0.2727	0.3418
62	antioxidant property	-0.8134	0.2628	6	52	131	5	2019	0.8	1.0027
63	apidae	0.8206	0.1924	1	19	94	6	2019	0.5	0.6267
64	arbuscular mycorrhizal fungi	0.0499	-0.0461	16	16	68	6	2019	1	1.2534
65	arfak rainbowfish	1.2079	0.1733	1	2	15	5	2019	0	0
66	arginase	-1.0954	0.6458	6	18	112	5	2019	0.8	1.0027
67	arj	-0.825	0.3484	13	24	164	6	2019	1.3333	1.6711
68	artemia	-0.4953	0.3129	6	17	99	5	2019	3.4	4.2614
69	artocarpus species	0.4079	-0.6738	8	9	128	8	2019	0	0
70	ascorbic acid	-0.9201	-0.109	4	53	127	7	2019	0.4286	0.5372
71	asd	1.0494	0.5996	17	7	180	6	2019	1	1.2534
72	ash content	-0.6987	-0.3049	11	66	209	10	2019	0.1	0.1253
73	assay	-0.7801	0.267	4	193	977	38	2019	1.1316	1.4183
74	association	0.1915	0.2266	17	124	769	38	2019	0.2368	0.2968
75	atc processing	-1.0513	-0.4364	4	6	114	6	2019	0	0
76	atmosphere	0.2677	-0.4101	8	46	109	10	2019	1.7	2.1307
77	authentication	-0.337	-0.2913	2	27	134	11	2019	1.2727	1.5952
78	authority	1.0924	-0.0372	1	53	248	20	2019	0.3	0.376
79	avian coronavirus	0.0903	0.6554	12	15	231	7	2019	2	2.5067
80	avocado	-0.186	-0.6002	8	18	122	10	2019	1.2	1.504
81	aya	0.4725	0.0525	14	3	78	6	2019	0	0
82	bacillus	-0.7619	0.3185	13	61	207	8	2019	1.5	1.88
83	bacterial isolate	-0.3515	0.1966	16	48	345	12	2019	0.6667	0.8356
84	bacteriocin	-0.4273	0.1662	13	42	199	13	2019	0.2308	0.2892
85	bacterium	-0.5932	0.2786	13	243	1574	86	2019	0.8721	1.093
86	bali cattle	0.404	0.8067	7	29	330	16	2019	0.5	0.6267
87	bamboo	-0.3443	-0.6681	8	34	241	17	2019	0.7059	0.8847
88	bamboo culm	0.3764	-0.4011	8	7	114	6	2019	2	2.5067
89	banteng	0.6577	0.4041	7	33	168	10	2019	2.9	3.6347
90	bap	-0.5177	0.3709	10	16	128	10	2019	1.5	1.88
91	barium strontium titanate	-0.4858	-0.62	2	23	124	6	2019	1.3333	1.6711
92	basal area	0.8817	-0.4843	5	23	104	7	2019	1	1.2534
93	base classifier	0.705	-0.3939	5	7	48	9	2019	0.4444	0.557
94	baseline	0.9033	0.029	1	46	213	11	2019	0.4545	0.5697
95	basic density	0.3716	-0.6692	8	17	84	5	2019	0.4	0.5013
96	batang toru	1.0102	-0.3264	5	4	18	9	2019	0	0
97	bcr abl	-0.026	0.3375	10	12	180	9	2019	0	0
98	bedtime	0.1737	0.2505	17	11	162	6	2019	0	0
99	beginning	0.5816	-0.1591	5	58	256	15	2019	0.3333	0.4178
100	bengkalis regency	1.045	-0.3108	5	6	30	6	2019	1.3333	1.6711
101	bengkulu	-0.0507	0.0488	9	23	106	5	2019	1.2	1.504
102	bengkulu province	0.7875	0.231	1	36	208	7	2019	1.2857	1.6115
103	berau	1.03	-0.3929	5	16	145	9	2019	0.2222	0.2785
104	best treatment	-0.6062	-0.3391	2	60	126	7	2019	0.1429	0.1791
105	best type	0.2631	-0.1246	8	30	60	5	2019	0.4	0.5013
106	better performance	0.4326	-0.4842	5	27	64	6	2019	0.6667	0.8356
107	bio oil	-0.4871	-0.4583	15	8	84	12	2019	0	0
108	bioactive compound	-0.8069	0.0422	4	201	1068	42	2019	1.2143	1.5219
109	bioactive peptide	-0.5797	0.3354	13	45	253	11	2019	1.7273	2.1649
110	bioactivity	-0.9012	-0.2906	4	62	311	13	2019	1	1.2534
111	biocontrol agent	-0.6331	0.446	13	46	234	7	2019	1.5714	1.9696
112	biocultural approach	1.9301	0.6334	12	2	43	7	2019	14.5714	18.2632
113	biodiesel agroindustry	1.4248	0.5033	1	1	5	5	2019	0	0
114	biodiversity loss	1.1286	-0.0709	1	28	130	9	2019	1.4444	1.8104
115	bioethanol	0.1265	-0.3002	3	26	100	8	2019	1.5	1.88
116	biofertilizer	-0.5375	0.1281	13	22	125	8	2019	0	0
117	biofloc	-0.4267	0.0163	6	24	116	7	2019	4.4286	5.5506
118	biofloc meal	-0.4076	0.1989	6	15	200	8	2019	1	1.2534
119	biofloc system	-0.5808	0.2871	6	7	85	5	2019	5	6.2668
120	bird community	1.1151	-0.0565	1	8	32	7	2019	0	0
121	bird species	1.1901	0.0455	1	29	355	17	2019	0	0
122	bisdemethoxycurcumin content	-0.4113	0.133	10	7	189	7	2019	1	1.2534
123	bit	-0.0311	-0.4031	11	9	80	10	2019	0.2	0.2507
124	black rice bran	-0.9857	-0.0456	4	18	222	11	2019	0	0
125	blade	0.2073	-0.043	1	8	48	8	2019	0	0
126	blood glucose level	-0.4723	0.3704	6	55	201	9	2019	0.4444	0.557
127	blood glucose status	0.9038	0.173	3	8	168	8	2019	0	0
128	blood plasma	-0.6048	0.1433	13	19	299	11	2019	0	0
129	blood pressure	-0.6055	0.3797	6	63	274	11	2019	0.3636	0.4558
130	blood sample	0.0503	0.4128	6	40	138	8	2019	0.25	0.3133
131	blood vessel	-1.5136	0.4176	15	19	125	7	2019	0.2857	0.3581
132	blue	0.12	-0.4047	2	49	171	13	2019	0.3846	0.4821
133	blue swimming crab	0.7532	0.2202	1	26	126	6	2019	1.3333	1.6711
134	boat	0.8205	0.0129	1	34	147	11	2019	2.6364	3.3043
135	body	0.2665	0.0162	6	138	430	27	2019	0.3333	0.4178
136	body measurement	0.6699	0.8495	7	5	72	6	2019	0	0
137	body weight	-0.6057	0.4203	6	111	520	29	2019	0.5862	0.7347
138	bogor city	0.7594	-0.1389	1	23	135	14	2019	0.2857	0.3581
139	bogor district	0.1009	0.2858	11	21	125	6	2019	0.1667	0.2089
140	bone	-0.7535	-0.3099	2	93	421	18	2019	0.3333	0.4178
141	bontang	1.0502	-0.3868	5	6	68	6	2019	0	0
142	bornean orangutan	1.0207	-0.0508	1	9	47	7	2019	0	0
143	bos indicus	0.2111	0.7798	7	30	153	5	2019	0	0
144	bos javanicus	0.5414	0.6981	7	38	169	8	2019	0.75	0.94
145	bosb	-0.4312	-0.7603	8	16	190	10	2019	1	1.2534
146	brandis method	1.3703	-0.2746	3	1	5	5	2019	0	0
147	brebes regency	0.2031	0.043	16	4	17	5	2019	0.6	0.752
148	breed	0.1795	0.6564	7	62	522	18	2019	2.0556	2.5763
149	brewing	-0.5271	-0.0652	10	24	141	9	2019	1.2222	1.5319
150	brine shrimp lethality test	-1.2887	0.1021	4	52	168	5	2019	1	1.2534
151	broiler farm	0.1909	0.3769	14	14	92	8	2019	0	0
152	bryophyte	0.2761	-0.5016	8	3	42	6	2019	14	17.547
153	bsf	-0.6606	0.1171	9	40	263	12	2019	0.25	0.3133
154	bsf larvae	-0.7178	0.1175	9	36	188	8	2019	0	0
155	buffalo	0.0987	0.4863	8	24	167	7	2019	0.5714	0.7162
156	bulb	-0.5492	-0.047	11	36	159	12	2019	0.3333	0.4178
157	bulk density	0.3478	-0.325	5	37	111	9	2019	1	1.2534
158	business process	1.0143	-0.0693	3	15	65	6	2019	0.5	0.6267
159	butanol	-1.1052	-0.1413	9	44	152	6	2019	0.5	0.6267
160	butet	1.2719	-0.1908	19	11	88	5	2019	0.8	1.0027
161	buton forest onion	-0.2792	0.3682	6	10	180	9	2019	2	2.5067
162	butterfly	1.1095	0.0607	1	35	375	27	2019	0.3333	0.4178
163	butterfly diversity	1.4472	0.0238	1	7	75	5	2019	0	0
164	butterfly species	1.2095	0.0321	1	22	153	6	2019	0	0
165	buyan	1.0508	0.2576	12	5	95	5	2019	0	0
166	c aeruginosa	-0.9627	0.1958	4	16	170	5	2019	1	1.2534
167	c odorata	0.5032	0.2219	12	9	127	11	2019	0	0
168	calcium	-0.516	-0.1571	17	72	164	8	2019	0.375	0.47
169	calcium hydroxide	-0.7842	-0.7173	2	40	153	6	2019	0	0
170	calibration model	0.0532	-0.3097	10	20	145	9	2019	0	0
171	callus	-0.5588	0.3604	10	18	228	16	2019	1.5	1.88
172	cancer	-0.903	0.1934	4	78	369	18	2019	2.4444	3.0638
173	canopy cover	0.7689	-0.4715	8	9	71	9	2019	0.4444	0.557
174	capita	1.343	0.4673	1	14	124	7	2019	1.1429	1.4324
175	capsicum	-0.2019	0.4288	7	23	74	5	2019	1.6	2.0054
176	capsule	-0.7238	-0.3	15	20	164	12	2019	0.0833	0.1044
177	capture fishery	1.0086	0.0929	1	32	131	12	2019	0.9167	1.1489
178	carbohydrate	-0.3136	-0.0317	3	92	218	11	2019	1.2727	1.5952
179	carbon deposit	0.3058	-0.3572	8	10	78	8	2019	0	0
180	carbon source	-0.5339	0.25	6	30	185	9	2019	3	3.7601
181	carbon storage	0.3302	-0.3648	8	18	92	12	2019	0.5	0.6267
182	carotenoid	-0.3204	-0.2289	17	22	151	9	2019	1.2222	1.5319
183	carrageenan	-0.5731	-0.332	4	44	298	18	2019	0	0
184	cassava leaf silage	-1.2015	0.1477	9	18	185	5	2019	0	0
185	cassava leafe	-0.4899	-0.3399	2	35	177	8	2019	1.125	1.41
186	cassava mealybug	0.4883	0.2979	7	16	66	5	2019	1	1.2534
187	cassia spp	-0.8946	0.0549	4	18	125	5	2019	0	0
188	catalyst	-0.479	-0.4383	15	24	226	21	2019	0.1429	0.1791
189	catch	0.907	0.1134	1	76	491	33	2019	0.3636	0.4558
190	catechin	-0.9686	-0.3114	4	9	114	6	2019	1	1.2534
191	catfish	-0.4684	0.0591	15	70	521	27	2019	0.1481	0.1857
192	cattle	0.2051	0.6239	7	99	792	37	2019	1.2162	1.5244
193	cbe	0.8255	-0.4088	5	11	207	9	2019	0	0
194	cca	0.8694	-0.053	3	13	76	8	2019	3	3.7601
195	ccew	0.7199	-0.4111	14	14	95	5	2019	0.4	0.5013
196	ccl7	-0.0674	1.2152	7	6	112	8	2019	1	1.2534
197	cec	0.1833	-0.3704	16	17	89	12	2019	0.8333	1.0445
198	cell	-0.7168	0.2832	4	289	2374	144	2019.0069	0.7153	0.8947
199	cell migration	-0.8565	0.2335	4	16	117	5	2019	0.2	0.2507
200	cellular microencapsulation	-0.7175	-0.3254	15	9	115	5	2019	0	0
201	cellulose	-0.8019	-0.5317	2	127	1008	43	2019	1.0698	1.3408
202	cellulose nanofiber	-0.8529	-0.4177	2	35	126	5	2019	0.8	1.0027
203	central part	0.7673	-0.1481	14	9	34	8	2019	0	0
204	central sulawesi	0.8656	-0.1667	12	9	48	6	2019	0	0
205	cfu g	-0.3997	-0.1479	10	20	77	7	2019	0	0
206	cfu ml	-0.5627	0.1913	6	50	193	12	2019	1.0833	1.3578
207	challenge test	-0.4932	0.3315	6	34	115	5	2019	2.6	3.2587
208	chemical characteristic	-0.0281	-0.1635	1	26	66	7	2019	0.1429	0.1791
209	chemical component	-0.5638	-0.4589	8	65	226	10	2019	0.7	0.8774
210	chemical composition	-0.7322	0.0145	9	181	771	31	2019	0.9032	1.1321
211	chemical compound	-0.3293	-0.2779	6	73	158	8	2019	0.75	0.94
212	chemical content	-0.2465	-0.2011	10	38	93	6	2019	1.1667	1.4623
213	chemical solution deposition	-0.6497	-0.6493	2	19	57	6	2019	0.1667	0.2089
214	chicken	-0.2454	0.5382	12	79	708	42	2019	0.7619	0.9549
215	chicken feet	-0.8203	-0.4612	2	10	100	5	2019	0	0
216	child	0.5478	0.3748	17	62	591	29	2019	0.7241	0.9076
217	chili plant	-0.6483	0.1698	13	11	75	5	2019	0	0
218	chinese violet	-0.817	-0.0176	10	10	105	5	2019	1	1.2534
219	chitin	-0.8249	0.0669	9	23	257	12	2019	1.75	2.1934
220	chitosan	-0.3396	-0.3049	18	70	794	45	2019	0.2667	0.3342
221	chitosan collagen membrane	-1.5426	0.4199	15	7	108	6	2019	0	0
222	chl	0.5569	-0.2399	14	13	45	5	2019	0.4	0.5013
223	chlorophyll	-0.0413	-0.3353	2	80	431	36	2019	0.7778	0.9748
224	chlorophyll content	-0.2977	0.1815	16	26	98	8	2019	0	0
225	choice	-0.3921	0.8507	17	32	127	9	2019	1.1111	1.3926
226	cholesterol	-0.265	0.2348	6	45	223	16	2019	0.3125	0.3917
227	chromosome	0.4384	0.6393	7	56	268	15	2019	0.0667	0.0836
228	cianjur regency	0.8738	-0.1673	3	32	123	5	2019	0	0
229	ciherang	-0.0313	0.61	7	35	328	15	2019	0.6667	0.8356
230	ciletuh mangrove forest	0.0386	-0.4936	8	2	9	6	2019	0	0
231	clade	0.3499	0.4629	12	38	148	11	2019	0.8182	1.0255
232	cloud	0.8916	-0.3757	5	29	74	6	2019	0.5	0.6267
233	clove bud	-0.651	0.1112	11	26	183	10	2019	1.3	1.6294
234	clustering	0.5711	0.0087	11	38	135	11	2019	0.4545	0.5697
235	cnfs	-0.711	-0.4645	2	27	297	10	2019	2.1	2.6321
236	co2 emission	0.5646	-0.2983	5	16	28	7	2019	4	5.0134
237	coastal water	0.7283	0.0941	12	35	178	13	2019	0.3077	0.3856
238	coating	-0.572	-0.4393	2	90	297	20	2019	0.1	0.1253
239	coconut milk	-0.1028	0.0216	4	5	55	5	2019	0	0
240	coffee bean	-0.281	-0.2093	10	29	327	26	2019	0.8462	1.0605
241	coffee brew	-0.5935	-0.0765	10	13	198	12	2019	0	0
242	coi	0.4282	0.6253	7	12	81	5	2019	0.8	1.0027
243	collagen	-0.7417	-0.297	2	105	1231	73	2019	0.8767	1.0988
244	collagen extraction	-0.7958	-0.4211	2	21	107	5	2019	0.4	0.5013
245	collembola	0.6934	-0.2199	5	15	132	9	2019	0.1111	0.1393
246	colony	0.8014	0.0578	1	44	186	18	2019	0.3333	0.4178
247	colour	-0.3015	-0.4055	8	47	167	17	2019	1.1176	1.4008
248	comity	1.1985	-0.4077	3	8	135	5	2019	0	0
249	commercial feed	-0.468	0.4101	6	33	148	7	2019	0.1429	0.1791
250	commitment	0.9055	-0.1422	3	21	90	6	2019	1	1.2534
251	communication technology	1.2471	-0.0959	3	23	105	6	2019	1.5	1.88
252	community forest	0.2684	-0.2089	8	37	136	9	2019	0.6667	0.8356
253	community structure	0.7622	0.1828	1	31	110	13	2019	1.8462	2.3139
254	complete block design	-0.2685	0.2811	7	47	105	6	2019	0.8333	1.0445
255	completely randomized design	-0.3809	0.1472	6	47	130	8	2019	0.125	0.1567
256	composite	-0.1952	-0.5308	2	85	332	27	2019	0.8889	1.1141
257	compost	0.0247	-0.0821	16	28	95	6	2019	1.5	1.88
258	compressive strength	0.3805	-0.536	8	16	144	8	2019	1.5	1.88
259	concave coastline	0.4883	-0.5633	14	5	99	9	2019	6	7.5201
260	concentrate	-1.0218	0.0782	9	43	340	14	2019	0.5714	0.7162
261	conservation status	0.9774	0.1384	1	24	57	5	2019	0.6	0.752
262	contig	-0.1096	0.2545	11	30	197	16	2019	1.5625	1.9584
263	control group	-1.0157	0.3431	15	75	302	15	2019	1.6667	2.0889
264	convection pipe	-0.1502	-0.1185	16	4	36	6	2019	7	8.7735
265	conventional goat milk	-0.4164	0.5067	11	10	546	14	2019	0	0
266	copper	-0.6296	-0.1617	17	39	95	5	2019	1.2	1.504
267	coral	0.9977	-0.0716	1	46	223	18	2019	0.2222	0.2785
268	coral cover	1.0466	0.1547	1	23	140	12	2019	1.4167	1.7756
269	coral reef ecosystem	1.1529	0.1972	12	22	130	12	2019	0.3333	0.4178
270	coral reef fish	1.2664	0.2025	12	3	15	5	2019	0	0
271	corn noodle	-0.0432	-0.5496	3	4	45	5	2019	0	0
272	corridor	0.9007	-0.2444	5	16	73	10	2019	0	0
273	cos	-0.5023	0.4613	6	12	132	6	2019	0	0
274	cow	-0.8421	0.1817	15	20	95	6	2019	4.3333	5.4312
275	cpue	0.921	0.137	1	22	119	6	2019	0.8333	1.0445
276	crab	0.6192	0.2418	1	32	147	13	2019	0.9231	1.1569
277	crd	-0.5019	0.261	10	51	160	9	2019	0.4444	0.557
278	cream	-0.5783	-0.1534	4	66	434	26	2019	2.5769	3.2298
279	cream preparation	-0.8236	-0.1846	4	30	136	5	2019	1.8	2.256
280	creation	0.1728	-0.4056	18	14	49	5	2019	0.4	0.5013
281	cricket meal	-0.4413	0.2296	9	21	373	17	2019	0.4118	0.5161
282	crispy noodle	-0.4183	0.0966	17	11	72	6	2019	1	1.2534
283	critical land	1.0339	-0.3484	5	8	25	5	2019	0	0
284	cross	0.1823	0.2878	7	75	349	19	2019	0.5263	0.6597
285	crude	-0.787	0.2588	13	60	206	8	2019	0.375	0.47
286	crude extract	-0.9834	0.1754	4	59	171	6	2019	2.3333	2.9245
287	crude fiber	-0.5357	-0.0219	9	68	213	13	2019	0.2308	0.2892
288	crude protein	-0.6975	0.0239	9	67	260	13	2019	0.6154	0.7713
289	crustacea	0.3942	0.3543	1	24	78	7	2019	0	0
290	cryopreservation	-0.7442	0.183	15	32	250	14	2019	3.5714	4.4763
291	crystallinity	-0.7899	-0.6063	2	115	508	21	2019	0.6667	0.8356
292	crystallite size	-0.8099	-0.7262	2	51	281	11	2019	0.1818	0.2279
293	csd	-0.8062	-0.5718	2	24	100	7	2019	0.1429	0.1791
294	cucumber	0.4062	0.4193	12	52	243	12	2019	0.1667	0.2089
295	cultivar	0.1388	0.3306	7	53	286	29	2019	0	0
296	cuprac	-0.9378	-0.1624	4	27	119	5	2019	3	3.7601
297	curcuma aeruginosa	-1.0282	0.1391	4	37	161	5	2019	1.2	1.504
298	curcuma aeruginosa roxb	-0.6681	0.132	10	33	131	5	2019	0.8	1.0027
299	curcumin	-0.4622	0.0991	10	30	219	12	2019	0.4167	0.5222
300	current state	0.6958	0.1361	1	30	70	5	2019	1.8	2.256
301	customer	1.1371	-0.0868	3	36	517	19	2019	0.6316	0.7916
302	customer satisfaction	1.3022	-0.1029	3	16	256	11	2019	0.9091	1.1394
303	customer trust	1.3663	-0.1398	3	15	265	5	2019	1	1.2534
304	cyanobacterium	0.146	-0.1762	16	21	88	6	2019	0	0
305	cynomolgus macaque	-0.0816	1.2239	7	11	121	7	2019	0.7143	0.8953
306	cytotoxic activity	-0.9593	0.2223	4	37	234	8	2019	0.5	0.6267
307	cytotoxicity	-1.3317	0.086	4	49	370	12	2019	0.5	0.6267
308	d oblongifolia	0.7007	-0.0372	12	7	75	5	2019	0	0
309	d optimal design	-0.4923	0.8676	17	8	79	11	2019	0	0
310	dadih product	0.6933	0.0196	3	7	65	5	2019	0	0
311	dairy farmer	0.6305	0.334	1	5	33	9	2019	0	0
312	dbh	0.5057	-0.1753	12	14	32	7	2019	0.5714	0.7162
313	dce	-0.4499	0.9129	17	3	64	8	2019	0	0
314	dead coral	1.1627	0.2189	1	12	30	6	2019	0.1667	0.2089
315	death	-0.5538	0.2463	4	64	191	10	2019	0.8	1.0027
316	decision making	0.7234	0.0536	1	36	97	8	2019	2.25	2.8201
317	decolorization	-0.3969	-0.2543	15	9	108	9	2019	0	0
318	decreasing	0.3002	-0.1646	3	48	181	9	2019	0.5556	0.6963
319	demethoxycurcumin	-0.4125	0.1296	10	10	175	7	2019	0.8571	1.0743
320	department	0.4314	-0.2879	3	66	223	10	2019	0.1	0.1253
321	desma	1.2599	-0.197	19	11	87	5	2019	0.6	0.752
322	determinant	0.775	0.0693	11	31	109	8	2019	1.375	1.7234
323	device	0.3436	-0.1179	6	91	369	31	2019	0.4839	0.6065
324	dextranase	-0.5851	0.1508	11	9	84	6	2019	0	0
325	dh line	0.1557	0.3072	7	17	82	7	2019	0.7143	0.8953
326	dhikr	0.1725	0.2485	17	11	182	7	2019	0	0
327	diabetes	-0.4807	0.3141	6	30	104	7	2019	0.2857	0.3581
328	diabetes mellitus	-0.0655	0.208	6	49	218	15	2019	0.8	1.0027
329	diabetic rat	-0.8286	0.4183	6	36	254	10	2019	0.3	0.376
330	diagnosis	-0.2789	0.1631	10	28	79	7	2019	2.2857	2.8648
331	dichromat	0.7098	1.0137	7	4	45	5	2019	1	1.2534
332	diet	-0.6262	0.2778	6	172	2007	88	2019	0.4091	0.5127
333	dietary diversity	-0.1581	-0.0404	17	19	270	11	2019	0.2727	0.3418
334	dietary quantity	-0.1735	-0.0451	17	11	160	5	2019	0	0
335	dietary treatment	-0.5322	0.2519	9	59	167	6	2019	0.3333	0.4178
336	digestibility	-0.9245	0.1788	9	118	807	28	2019	0.9286	1.1638
337	digestive tract	-0.594	0.1108	9	59	198	9	2019	2.1111	2.646
338	digital number	0.7569	-0.339	5	29	77	5	2019	0.2	0.2507
339	dimensional stability	-0.2701	-0.6171	8	43	334	15	2019	2.4667	3.0916
340	diphenyl	-0.9493	-0.0648	4	104	305	10	2019	0.6	0.752
341	distilled water	-0.4523	-0.2528	16	67	131	8	2019	0.125	0.1567
342	disturbed area	0.6953	-0.09	5	12	100	8	2019	6	7.5201
343	dna	0.0645	0.5268	7	118	605	36	2019	0.2222	0.2785
344	dna isolation	-0.0412	0.3128	13	14	59	5	2019	0.8	1.0027
345	dog	0.4643	0.2616	8	14	97	7	2019	0	0
346	dosage	-0.2988	0.0512	16	74	322	18	2019	0.1111	0.1393
347	dose	-0.6962	0.2213	6	157	883	46	2019	0.3261	0.4087
348	dpph	-0.9061	-0.126	4	115	487	17	2019	1.0588	1.3271
349	dpph method	-1.1477	-0.1199	4	44	131	5	2019	0.2	0.2507
350	drought stress	-0.0573	0.4561	7	20	131	8	2019	0	0
351	drought tolerance	-0.0447	0.433	7	20	81	7	2019	0	0
352	drug target interaction	0.4454	-0.4024	5	11	37	5	2019	5.4	6.7681
353	drum	-0.0678	-0.0765	16	20	60	5	2019	2.8	3.5094
354	dry matter	-0.9197	0.068	9	103	334	12	2019	1.3333	1.6711
355	dual customer	1.366	-0.1401	3	15	265	5	2019	1	1.2534
356	duplicate epistasis	0.4411	0.3302	7	12	99	6	2019	0	0
357	durability	-0.1675	-0.6526	8	19	131	9	2019	0.4444	0.557
358	duration	0.0188	0.0035	17	71	332	21	2019	0.7143	0.8953
359	dye	-0.6442	-0.2185	15	44	424	28	2019	2.1429	2.6858
360	e acoroide	-0.3452	-0.1283	5	11	80	5	2019	1	1.2534
361	e coli	-0.7131	0.6692	13	51	335	13	2019	0.0769	0.0964
362	e50	-1.0331	-0.0381	4	22	78	5	2019	2.2	2.7574
363	east kalimantan	0.8971	-0.3747	5	35	175	14	2019	0.1429	0.1791
364	east lampung	0.5081	0.0938	14	19	93	7	2019	0.1429	0.1791
365	east lombok regency	1.0087	-0.2913	5	8	60	5	2019	0.4	0.5013
366	eastern indian ocean	0.7646	-0.4058	14	22	120	8	2019	0.5	0.6267
367	eastern part	0.6937	-0.2177	14	28	79	5	2019	0.6	0.752
368	economic benefit	0.5835	0.3729	1	18	69	6	2019	0.1667	0.2089
369	economic growth	0.9872	-0.0958	1	38	117	15	2019	0.0667	0.0836
370	economic loss	0.7453	-0.059	5	32	121	7	2019	1.1429	1.4324
371	ecosystem function	0.9814	-0.2155	8	26	96	6	2019	3.8333	4.8045
